character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,140,57,0.23684210526315788,1.043859649122807,526.7829275131226,26.343761561507154,85.87822032850038,1.0,126.71264553070068,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,563,1931,710,1130,,14.733,48.333,64.933,14.0,47.167,95.667,112.25,52.75
4,141,75,0.8333333333333334,0.15333333333333332,514.6480398178101,27.52697555260513,76.09186979024948,1.0,138.22527980804443,1,0,1.0,0.8901098901098901,40.5,0.6702264155759212,1,53.0,0.0,652,1665,260,751,,3.95,34.0,75.6,11.067,29.35,77.95,98.467,51.867
4,142,57,0.23684210526315788,1.043859649122807,485.4941701889038,25.072675949753624,80.28517034277655,1.0,117.55444240570068,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,564,1847,680,1084,,14.8,48.6,64.0,14.9,45.083,92.833,106.75,51.25
4,143,76,0.75,-0.4342105263157895,583.1868124008179,30.411467888488332,89.30015465197943,1.0,162.241042137146,1,0,1.0,0.9587628865979382,46.5,0.7507064365630817,1,60.0,0.0,638,2667,830,674,,11.9,44.133,70.2,12.2,88.062,86.583,112.25,57.917
4,144,57,0.23684210526315788,1.043859649122807,488.06371212005615,25.136459643111248,80.50692782525141,1.0,118.16261959075928,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,565,1850,681,1088,,14.867,48.667,64.133,15.0,45.083,93.083,107.083,51.25
4,145,76,0.75,-0.4342105263157895,604.7979650497437,31.26703642973995,93.27675015994775,1.0,166.22811031341553,1,0,1.0,0.9479166666666666,45.5,0.7345622121208649,1,59.0,0.0,637,2726,849,668,,11.35,44.2,71.2,11.2,89.562,86.583,114.083,58.0
4,146,58,0.1724137931034483,1.293103448275862,527.6405906677246,26.99685497896947,87.72750500125085,1.0,111.61947250366211,1,0,1.0,0.8311688311688312,32.0,0.6275499564277269,1,44.0,0.0,822,1532,584,1339,,11.0,43.8,99.333,20.8,41.083,68.583,108.667,46.625
4,147,76,0.75,-0.4342105263157895,607.1140098571777,31.374013107674305,93.7243059204467,1.0,166.55346298217773,1,0,1.0,0.9479166666666666,45.5,0.7345622121208649,1,59.0,0.0,638,2733,849,667,,11.2,44.267,71.333,11.067,89.812,86.417,114.25,57.917
4,148,57,0.23684210526315788,1.043859649122807,513.8125,25.969886453029662,85.57164485895282,1.0,122.5972900390625,1,0,1.0,0.9545454545454546,31.5,0.7436781659348073,1,43.0,0.0,562,1903,693,1113,,14.2,47.933,64.6,13.0,45.583,94.5,109.833,51.625
4,149,67,1.007462686567164,1.5746268656716418,642.1088018417358,30.939549422149355,95.68589842058431,1.0,142.42804622650146,1,0,1.0,0.8375,33.5,0.6445506597818651,1,45.0,0.0,589,1739,625,762,,2.933,24.333,88.733,9.2,43.8,80.267,124.533,51.733
4,150,61,0.22131147540983606,1.1229508196721312,478.77392196655273,24.833506766194127,78.56145626478286,1.0,116.71209335327148,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,565,1833,677,1078,,15.133,48.733,63.867,16.0,45.167,92.667,106.083,51.5
